,url,num_words,is_political,num_links,title,small_title
106,https://www.bbc.com/news/world-middle-east-56876836,393,False,120,Iraq Covid fire: Inside Baghdad hospital where deadly blaze took place - BBC News,Iraq Covid fire: Inside Baghdad hospital where dea
107,https://www.bbc.com/news/live/explainers-51871385/page/2,1143,True,252,Coronavirus news stream - BBC News,Coronavirus news stream - BBC News
108,https://www.bbc.com/news/live/explainers-51871385/page/50,1106,True,238,Coronavirus news stream - BBC News,Coronavirus news stream - BBC News
109,https://www.bbc.com/news/business/your_money,1779,True,338,Your Money - BBC News,Your Money - BBC News
110,https://www.bbc.com/news/politics/parliaments,1512,True,305,Parliaments - BBC News,Parliaments - BBC News
111,https://www.bbc.com/news/education,1806,True,337,Family & Education - BBC News,Family & Education - BBC News
112,https://www.bbc.com/news/disability,1784,True,296,Disability - BBC News,Disability - BBC News
113,https://www.bbc.com/news/av/10462520#main-heading,271,False,100,One-minute World News - BBC News,One-minute World News - BBC News
114,https://account.bbc.com/account?lang=en-GB&ptrt=https://www.bbc.com/news/av/10462520,54,False,15,BBC – Sign in,BBC – Sign in
115,https://www.bbc.com/news/av/10462520#footer-navigation,271,False,100,One-minute World News - BBC News,One-minute World News - BBC News
116,https://www.bbc.com/news/av/10462520#product-navigation-menu,271,False,100,One-minute World News - BBC News,One-minute World News - BBC News
117,https://www.bbc.com/news/av/10462520#product-navigation-more-menu,271,False,100,One-minute World News - BBC News,One-minute World News - BBC News
118,https://www.bbc.com/news/av/world-europe-56878417,419,False,118,Man jumps through car window to stop dangerous driver in Albania - BBC News,Man jumps through car window to stop dangerous dri
119,https://www.bbc.com/news/av/world-us-canada-56859336,386,False,120,Oscars 2021: The railway station now a hosting venue - BBC News,Oscars 2021: The railway station now a hosting ven
120,https://www.bbc.com/news/av/science-environment-56847298,469,True,119,Brazil: Environment police battle for Amazon rainforest - BBC News,Brazil: Environment police battle for Amazon rainf
121,https://www.bbc.com/news/av/world-africa-56861679,372,False,108,"Sierra Leone: 'Covid-19 will go, we need to focus on malaria' - BBC News","Sierra Leone: 'Covid-19 will go, we need to focus "
122,https://www.bbc.com/news/av/world-56851238,410,False,126,ICYMI: Chinese kite festival and a whale in Italy - BBC News,ICYMI: Chinese kite festival and a whale in Italy 
123,https://www.bbc.com/news/av/world-europe-56861890,487,False,118,Oscars 2021: 'I don't mind being the underdog' - BBC News,Oscars 2021: 'I don't mind being the underdog' - B
124,https://www.bbc.com/news/av/science-environment-56871765,402,False,116,US Dragon spaceship arrives at International Space Station - BBC News,US Dragon spaceship arrives at International Space
125,https://www.bbc.com/news/world#skip-to-content,1806,True,358,World - BBC News,World - BBC News
126,https://www.bbc.com/news/world#orb-footer,1806,True,358,World - BBC News,World - BBC News
127,https://www.bbc.com/news/world#core-navigation,1806,True,358,World - BBC News,World - BBC News
128,https://www.bbc.com/news/science-environment-56871765,402,False,116,US Dragon spaceship arrives at International Space Station - BBC News,US Dragon spaceship arrives at International Space
129,https://www.bbc.com/news/world-europe-56874599,821,True,113,Killarney National Park: Major fire damages beauty spot - BBC News,Killarney National Park: Major fire damages beauty
130,https://www.bbc.com/news/world-europe-56829580,1240,False,110,Wolfwalkers: 'This year the Oscars are coming to Kilkenny' - BBC News,Wolfwalkers: 'This year the Oscars are coming to K
131,https://www.bbc.com/news/business-56598884,1511,True,119,Can Western brands recover from consumer backlash in China? - BBC News,Can Western brands recover from consumer backlash 
132,https://www.bbc.com/news/live/world-47639450/page/2,1283,True,268,World news stream - BBC News,World news stream - BBC News
133,https://www.bbc.com/news/live/world-47639450/page/50,2821,True,248,World news stream - BBC News,World news stream - BBC News
134,https://www.bbc.com/news/business#skip-to-content,2658,True,331,Business - BBC News,Business - BBC News
135,https://www.bbc.com/news/business#orb-footer,2658,True,331,Business - BBC News,Business - BBC News
